city,year,weekofyear,total_cases
sj,2008,18,23
sj,2008,19,27
sj,2008,20,35
sj,2008,21,26
sj,2008,22,35
sj,2008,23,33
sj,2008,24,38
sj,2008,25,36
sj,2008,26,43
sj,2008,27,44
sj,2008,28,34
sj,2008,29,40
sj,2008,30,47
sj,2008,31,39
sj,2008,32,43
sj,2008,33,48
sj,2008,34,48
sj,2008,35,49
sj,2008,36,46
sj,2008,37,62
sj,2008,38,45
sj,2008,39,43
sj,2008,40,43
sj,2008,41,43
sj,2008,42,41
sj,2008,43,32
sj,2008,44,38
sj,2008,45,42
sj,2008,46,37
sj,2008,47,35
sj,2008,48,33
sj,2008,49,29
sj,2008,50,24
sj,2008,51,22
sj,2008,52,20
sj,2009,1,38
sj,2009,2,16
sj,2009,3,20
sj,2009,4,19
sj,2009,5,16
sj,2009,6,19
sj,2009,7,16
sj,2009,8,18
sj,2009,9,15
sj,2009,10,14
sj,2009,11,17
sj,2009,12,15
sj,2009,13,15
sj,2009,14,21
sj,2009,15,18
sj,2009,16,21
sj,2009,17,21
sj,2009,18,21
sj,2009,19,25
sj,2009,20,27
sj,2009,21,28
sj,2009,22,33
sj,2009,23,33
sj,2009,24,37
sj,2009,25,38
sj,2009,26,37
sj,2009,27,39
sj,2009,28,43
sj,2009,29,42
sj,2009,30,43
sj,2009,31,49
sj,2009,32,38
sj,2009,33,43
sj,2009,34,43
sj,2009,35,42
sj,2009,36,41
sj,2009,37,47
sj,2009,38,46
sj,2009,39,42
sj,2009,40,45
sj,2009,41,47
sj,2009,42,47
sj,2009,43,37
sj,2009,44,36
sj,2009,45,33
sj,2009,46,32
sj,2009,47,37
sj,2009,48,37
sj,2009,49,36
sj,2009,50,31
sj,2009,51,32
sj,2009,52,26
sj,2010,53,39
sj,2010,1,20
sj,2010,2,20
sj,2010,3,25
sj,2010,4,23
sj,2010,5,24
sj,2010,6,22
sj,2010,7,23
sj,2010,8,23
sj,2010,9,24
sj,2010,10,24
sj,2010,11,18
sj,2010,12,25
sj,2010,13,25
sj,2010,14,18
sj,2010,15,24
sj,2010,16,30
sj,2010,17,38
sj,2010,18,34
sj,2010,19,34
sj,2010,20,41
sj,2010,21,38
sj,2010,22,55
sj,2010,23,43
sj,2010,24,42
sj,2010,25,45
sj,2010,26,42
sj,2010,27,46
sj,2010,28,46
sj,2010,29,47
sj,2010,30,43
sj,2010,31,45
sj,2010,32,51
sj,2010,33,49
sj,2010,34,49
sj,2010,35,56
sj,2010,36,52
sj,2010,37,51
sj,2010,38,48
sj,2010,39,51
sj,2010,40,50
sj,2010,41,53
sj,2010,42,40
sj,2010,43,30
sj,2010,44,46
sj,2010,45,45
sj,2010,46,36
sj,2010,47,28
sj,2010,48,27
sj,2010,49,24
sj,2010,50,22
sj,2010,51,23
sj,2011,52,27
sj,2011,1,21
sj,2011,2,14
sj,2011,3,15
